T,Genjyo,Suggested
0,0,0
0.01,0.0278705999781137,0.0278705999781137
0.02,0.047590282545655,0.047590282545655
0.03,0.0637012909325698,0.0637012909325698
0.04,0.0776624547535199,0.0776624547535199
0.05,0.0901574103978182,0.0901574103978182
0.06,0.10157073141027,0.10157073141027
0.07,0.112143930481814,0.112143930481814
0.08,0.122040348747423,0.122040348747423
0.09,0.131376528885716,0.131376528885716
0.1,0.140239059625025,0.140239059625025
0.11,0.148694349956816,0.148694349956816
0.12,0.156794651621191,0.156794651621191
0.13,0.164581951950083,0.164581951950083
0.14,0.172090590578293,0.172090590578293
0.15,0.17934907666757,0.17934907666757
0.16,0.186381386241832,0.186381386241832
0.17,0.193207910567758,0.193207910567758
0.18,0.199846163835762,0.199846163835762
0.19,0.206311320822848,0.206311320822848
0.2,0.212616631931269,0.212616631931269
0.21,0.218773748135827,0.218773748135827
0.22,0.224792978641244,0.224792978641244
0.23,0.230683497530803,0.230683497530803
0.24,0.23645351122796,0.23645351122796
0.25,0.242110395485641,0.242110395485641
0.26,0.247660808416511,0.247660808416511
0.27,0.25311078449378,0.25311078449378
0.28,0.258465813296694,0.258465813296694
0.29,0.263730905921013,0.263730905921013
0.3,0.268910651336394,0.268910651336394
0.31,0.274009264489906,0.274009264489906
0.32,0.279030627586387,0.279030627586387
0.33,0.28397832569223,0.28397832569223
0.34,0.288855677588223,0.288855677588223
0.35,0.293665762623866,0.293665762623866
0.36,0.298411444188692,0.298411444188692
0.37,0.303095390307193,0.303095390307193
0.38,0.307720091776695,0.307720091776695
0.39,0.312287878197132,0.312287878197132
0.4,0.316800932184589,0.316800932184589
0.41,0.321261302013894,0.321261302013894
0.42,0.325670912897346,0.325670912897346
0.43,0.330031577075157,0.330031577075157
0.44,0.334345002867083,0.334345002867083
0.45,0.338612802813,0.338612802813
0.46,0.342836501012024,0.342836501012024
0.47,0.347017539754528,0.347017539754528
0.48,0.351157285528551,0.351157285528551
0.49,0.355257034471222,0.355257034471222
0.5,0.359318017326613,0.359318017326613
0.51,0.363341403963529,0.363341403963529
0.52,0.367328307500046,0.367328307500046
0.53,0.371279788075832,0.371279788075832
0.54,0.375196856308306,0.375196856308306
0.55,0.379080476464426,0.379080476464426
0.56,0.382931569376184,0.382931569376184
0.57,0.386751015124656,0.386751015124656
0.58,0.39053965551467,0.39053965551467
0.59,0.394298296359711,0.394298296359711
0.6,0.398027709594542,0.398027709594542
0.61,0.401728635231146,0.401728635231146
0.62,0.405401783171968,0.405401783171968
0.63,0.409047834892955,0.409047834892955
0.64,0.412667445007659,0.412667445007659
0.65,0.416261242722492,0.416261242722492
0.66,0.419829833192261,0.419829833192261
0.67,0.423373798784202,0.423373798784202
0.68,0.426893700257944,0.426893700257944
0.69,0.430390077868138,0.430390077868138
0.7,0.433863452395853,0.433863452395853
0.71,0.437314326114281,0.437314326114281
0.72,0.440743183693799,0.440743183693799
0.73,0.444150493050954,0.444150493050954
0.74,0.447536706145591,0.447536706145591
0.75,0.45090225972991,0.45090225972991
0.76,0.454247576052969,0.454247576052969
0.77,0.457573063523812,0.457573063523812
0.78,0.460879117336172,0.460879117336172
0.79,0.464166120057404,0.464166120057404
0.8,0.467434442184159,0.467434442184159
0.81,0.470684442667021,0.470684442667021
0.82,0.473916469406235,0.473916469406235
0.83,0.477130859720434,0.477130859720434
0.84,0.480327940790125,0.480327940790125
0.85,0.483508030077611,0.483508030077611
0.86,0.486671435724822,0.486671435724822
0.87,0.489818456930485,0.489818456930485
0.88,0.492949384307915,0.492949384307915
0.89,0.496064500224636,0.496064500224636
0.9,0.499164079124944,0.499164079124944
0.91,0.502248387836443,0.502248387836443
0.92,0.50531768586153,0.50531768586153
0.93,0.508372225654701,0.508372225654701
0.94,0.511412252886533,0.511412252886533
0.95,0.514438006695097,0.514438006695097
0.96,0.517449719925539,0.517449719925539
0.97,0.520447619358496,0.520447619358496
0.98,0.523431925927977,0.523431925927977
0.99,0.526402854929296,0.526402854929296
1,0.529360616217603,0.529360616217603
1.01,0.532305414397539,0.532305414397539
1.02,0.535237449004481,0.535237449004481
1.03,0.538156914677833,0.538156914677833
1.04,0.541064001326788,0.541064001326788
1.05,0.543958894288955,0.543958894288955
1.06,0.546841774482221,0.546841774482221
