year,suggested,genjyo
188,1.66E+03,-7.76E+02
189,1.66E+03,-7.68E+02
190,1.58E+03,-8.57E+02
191,1.59E+03,-8.49E+02
192,1.60E+03,-8.42E+02
193,1.60E+03,-8.34E+02
194,1.61E+03,-8.26E+02
195,1.61E+03,-8.19E+02
196,1.62E+03,-8.11E+02
197,1.63E+03,-8.04E+02
198,1.64E+03,-7.96E+02
199,1.57E+03,-8.56E+02
200,1.58E+03,-8.48E+02
