T,Genjyo,Suggested
0,0,0
0.01,0.0254839651520242,0.0254839651520242
0.02,0.0435166047726192,0.0435166047726192
0.03,0.0582506078227143,0.0582506078227143
0.04,0.0710196479459378,0.0710196479459378
0.05,0.0824486916371004,0.0824486916371004
0.06,0.0928892975026323,0.0928892975026323
0.07,0.102562238127793,0.102562238127793
0.08,0.111616823088322,0.111616823088322
0.09,0.12015958044515,0.12015958044515
0.1,0.128269655900677,0.128269655900677
0.11,0.136007748215108,0.136007748215108
0.12,0.143421614786654,0.143421614786654
0.13,0.150549630328857,0.150549630328857
0.14,0.157423178929387,0.157423178929387
0.15,0.164068315238721,0.164068315238721
0.16,0.170506950394756,0.170506950394756
0.17,0.176757718948638,0.176757718948638
0.18,0.182836625755914,0.182836625755914
0.19,0.1887575374478,0.1887575374478
0.2,0.194532561808251,0.194532561808251
0.21,0.200172344796805,0.200172344796805
0.22,0.205686306061074,0.205686306061074
0.23,0.211082827822105,0.211082827822105
0.24,0.21636940793923,0.21636940793923
0.25,0.221552785120711,0.221552785120711
0.26,0.226639042234079,0.226639042234079
0.27,0.23163369222233,0.23163369222233
0.28,0.23654175007592,0.23654175007592
0.29,0.241367793530004,0.241367793530004
0.3,0.246116014572772,0.246116014572772
0.31,0.250790263409521,0.250790263409521
0.32,0.255394086190247,0.255394086190247
0.33,0.259930757548784,0.259930757548784
0.34,0.264403308799589,0.264403308799589
0.35,0.268814552479912,0.268814552479912
0.36,0.27316710379996,0.27316710379996
0.37,0.27746339946413,0.27746339946413
0.38,0.281705714246575,0.281705714246575
0.39,0.285896175640066,0.285896175640066
0.4,0.290036776844915,0.290036776844915
0.41,0.294129388322158,0.294129388322158
0.42,0.298175768100256,0.298175768100256
0.43,0.302177570995806,0.302177570995806
0.44,0.306136356884869,0.306136356884869
0.45,0.310053598141691,0.310053598141691
0.46,0.313930686344977,0.313930686344977
0.47,0.317768938337957,0.317768938337957
0.48,0.321569601716727,0.321569601716727
0.49,0.325333859811411,0.325333859811411
0.5,0.329062836216269,0.329062836216269
0.51,0.332757598917656,0.332757598917656
0.52,0.336419164062616,0.336419164062616
0.53,0.340048499405606,0.340048499405606
0.54,0.343646527466311,0.343646527466311
0.55,0.347214128427595,0.347214128427595
0.56,0.350752142799252,0.350752142799252
0.57,0.354261373870264,0.354261373870264
0.58,0.357742589969736,0.357742589969736
0.59,0.361196526554422,0.361196526554422
0.6,0.364623888138828,0.364623888138828
0.61,0.368025350082155,0.368025350082155
0.62,0.371401560244839,0.371401560244839
0.63,0.37475314052613,0.37475314052613
0.64,0.378080688292993,0.378080688292993
0.65,0.381384777709551,0.381384777709551
0.66,0.384665960975414,0.384665960975414
0.67,0.387924769480404,0.387924769480404
0.68,0.391161714882468,0.391161714882468
0.69,0.394377290114926,0.394377290114926
0.7,0.397571970328641,0.397571970328641
0.71,0.400746213774171,0.400746213774171
0.72,0.403900462628502,0.403900462628502
0.73,0.407035143770566,0.407035143770566
0.74,0.410150669509363,0.410150669509363
0.75,0.413247438268177,0.413247438268177
0.76,0.416325835228075,0.416325835228075
0.77,0.419386232933619,0.419386232933619
0.78,0.422428991863457,0.422428991863457
0.79,0.425454460968254,0.425454460968254
0.8,0.428462978178217,0.428462978178217
0.81,0.431454870882287,0.431454870882287
0.82,0.434430456380905,0.434430456380905
0.83,0.437390042314112,0.437390042314112
0.84,0.440333927066605,0.440333927066605
0.85,0.44326240015125,0.44326240015125
0.86,0.446175742572419,0.446175742572419
0.87,0.449074227170461,0.449074227170461
0.88,0.451958118948459,0.451958118948459
0.89,0.454827675382391,0.454827675382391
0.9,0.457683146715719,0.457683146715719
0.91,0.460524776239325,0.460524776239325
0.92,0.4633528005577,0.4633528005577
0.93,0.466167449842192,0.466167449842192
0.94,0.46896894807207,0.46896894807207
0.95,0.471757513264114,0.471757513264114
0.96,0.474533357691395,0.474533357691395
0.97,0.477296688091859,0.477296688091859
0.98,0.480047705867286,0.480047705867286
0.99,0.482786607273158,0.482786607273158
1,0.485513583599956,0.485513583599956
1.01,0.488228821346326,0.488228821346326
1.02,0.490932502384579,0.490932502384579
1.03,0.493624804118926,0.493624804118926
1.04,0.496305899636831,0.496305899636831
1.05,0.498975957853848,0.498975957853848
1.06,0.50163514365228,0.50163514365228
1.07,0.504283618013983,0.504283618013983
1.08,0.506921538147603,0.506921538147603
1.09,0.509549057610546,0.509549057610546
1.1,0.512166326425921,0.512166326425921
1.11,0.514773491194735,0.514773491194735
1.12,0.517370695203547,0.517370695203547
1.13,0.519958078527822,0.519958078527822
1.14,0.52253577813118,0.52253577813118
1.15,0.52510392796075,0.52510392796075
1.16,0.527662659038803,0.527662659038803
1.17,0.530212099550842,0.530212099550842
1.18,0.532752374930324,0.532752374930324
1.19,0.535283607940156,0.535283607940156
1.2,0.537805918751124,0.537805918751124
1.21,0.540319425017391,0.540319425017391
1.22,0.542824241949196,0.542824241949196
1.23,0.545320482382881,0.545320482382881
1.24,0.547808256848365,0.547808256848365
1.25,0.550287673634178,0.550287673634178
1.26,0.552758838850162,0.552758838850162
1.27,0.555221856487934,0.555221856487934
1.28,0.557676828479221,0.557676828479221
1.29,0.560123854752145,0.560123854752145
1.3,0.562563033285552,0.562563033285552
1.31,0.564994460161469,0.564994460161469
1.32,0.567418229615755,0.567418229615755
1.33,0.569834434087041,0.569834434087041
1.34,0.572243164264011,0.572243164264011
1.35,0.574644509131103,0.574644509131103
1.36,0.577038556012688,0.577038556012688
1.37,0.579425390615792,0.579425390615792
1.38,0.581805097071421,0.581805097071421
1.39,0.584177757974534,0.584177757974534
1.4,0.586543454422733,0.586543454422733
1.41,0.588902266053708,0.588902266053708
1.42,0.591254271081492,0.591254271081492
1.43,0.593599546331565,0.593599546331565
1.44,0.595938167274857,0.595938167274857
1.45,0.5982702080607,0.5982702080607
1.46,0.60059574154874,0.60059574154874
1.47,0.602914839339889,0.602914839339889
1.48,0.605227571806314,0.605227571806314
1.49,0.607534008120524,0.607534008120524
1.5,0.60983421628358,0.60983421628358
1.51,0.612128263152457,0.612128263152457
1.52,0.614416214466596,0.614416214466596
1.53,0.616698134873664,0.616698134873664
1.54,0.618974087954566,0.618974087954566
1.55,0.621244136247724,0.621244136247724
1.56,0.623508341272646,0.623508341272646
1.57,0.625766763552827,0.625766763552827
1.58,0.628019462637986,0.628019462637986
1.59,0.630266497125674,0.630266497125674
1.6,0.63250792468227,0.63250792468227
1.61,0.634743802063387,0.634743802063387
1.62,0.63697418513371,0.63697418513371
1.63,0.639199128886283,0.639199128886283
1.64,0.641418687461259,0.641418687461259
1.65,0.643632914164146,0.643632914164146
1.66,0.645841861483546,0.645841861483546
1.67,0.648045581108418,0.648045581108418
1.68,0.65024412394488,0.65024412394488
1.69,0.652437540132549,0.652437540132549
1.7,0.654625879060463,0.654625879060463
1.71,0.656809189382567,0.656809189382567
1.72,0.658987519032799,0.658987519032799
1.73,0.661160915239783,0.661160915239783
1.74,0.663329424541132,0.663329424541132
1.75,0.665493092797393,0.665493092797393
1.76,0.667651965205619,0.667651965205619
1.77,0.669806086312611,0.669806086312611
1.78,0.671955500027807,0.671955500027807
1.79,0.674100249635857,0.674100249635857
1.8,0.676240377808875,0.676240377808875
1.81,0.678375926618391,0.678375926618391
1.82,0.680506937546996,0.680506937546996
1.83,0.682633451499715,0.682633451499715
1.84,0.68475550881508,0.68475550881508
1.85,0.686873149275949,0.686873149275949
1.86,0.688986412120057,0.688986412120057
1.87,0.691095336050305,0.691095336050305
1.88,0.693199959244811,0.693199959244811
1.89,0.695300319366713,0.695300319366713
1.9,0.697396453573746,0.697396453573746
1.91,0.699488398527582,0.699488398527582
1.92,0.70157619040296,0.70157619040296
1.93,0.703659864896597,0.703659864896597
1.94,0.705739457235887,0.705739457235887
1.95,0.70781500218741,0.70781500218741
1.96,0.709886534065232,0.709886534065232
1.97,0.711954086739022,0.711954086739022
1.98,0.714017693641978,0.714017693641978
1.99,0.716077387778582,0.716077387778582
2,0.718133201732165,0.718133201732165
2.01,0.720185167672319,0.720185167672319
2.02,0.722233317362125,0.722233317362125
2.03,0.724277682165236,0.724277682165236
2.04,0.726318293052792,0.726318293052792
2.05,0.728355180610186,0.728355180610186
2.06,0.730388375043682,0.730388375043682
2.07,0.732417906186887,0.732417906186887
2.08,0.734443803507086,0.734443803507086
