T,Genjyo,Suggested
0,0,0
1,0.295776128830693,0.295776128830693
2,0.517113762519447,0.517113762519447
3,0.707790177194184,0.707790177194184
4,0.881542073502797,0.881542073502797
5,1.04466159888528,1.04466159888528
6,1.20060791502467,1.20060791502467
7,1.35150322205302,1.35150322205302
8,1.49874902073579,1.49874902073579
9,1.64332120926739,1.64332120926739
10,1.78592700441008,1.78592700441008
11,2.02587281148923,1.92709512090831
12,2.25560343157927,2.00750083793983
13,2.47632147198437,2.08953437629039
14,2.68901069759695,2.17319213836467
15,2.89448801081075,2.2584652233484
16,3.09344056383588,2.34534117150271
17,3.28645289103798,2.43380515480367
18,3.47402715687591,2.52384080240587
19,3.65659854070663,2.61543077996095
20,3.83454711385116,2.70855719990659
21,4.00820713936399,2.80320191381109
22,4.17787444666694,2.89934672128275
23,4.34381234674371,2.99697351916125
24,4.50625642605557,3.05382894692041
25,4.66541846847568,3.11298417268655
26,4.82148969157633,3.17437218710614
27,4.97464343830303,3.23793099199771
28,5.12503743201899,3.30360303592035
29,5.27281567847975,3.37133473221487
30,5.41811008003322,3.44107604496053
31,5.56104181353353,3.51278013126652
32,5.70172251291198,3.58640303060791
33,5.84025528922004,3.6619033936958
34,5.97673561463724,3.73924224476555
35,6.11125209197987,3.8183827722688
36,6.24388712732996,3.86480503464133
37,6.37471752028654,3.91343033069019
38,6.50381498384386,3.96420866635607
39,6.63124660388676,4.01709278867387
40,6.75707524665972,4.07203796268473
41,6.88135992123283,4.12900177186407
42,7.00415610289398,4.18794393906143
43,7.1255160224954,4.24882616539481
44,7.24548892603497,4.31161198491385
45,7.36412130813132,4.37626663315636
46,7.48145712253147,4.44275692798311
47,7.59753797235345,4.51105116129504
48,7.71240328239847,4.5512540198108
49,7.82609045555569,4.5935077525009
50,7.93863501505844,4.63777527923865
51,8.05007073412549,4.68402110265147
52,8.16042975432804,4.73221120813992
53,8.26974269385829,4.78231297209128
54,8.37803874673287,4.83429507747108
55,8.48534577384187,4.88812743607076
56,8.59169038664816,4.94378111677272
57,8.69709802424915,5.00122827926526
58,8.80159302443341,5.06044211270301
59,8.9051986892942,5.12139677886277
60,9.0079373459011,5.15735530867519
61,9.10983040247718,5.1952255613693
62,9.210898400482,5.23497897391786
63,9.31116106295931,5.27658797884594
64,9.41063733947188,5.3200259529231
65,9.50934544791315,5.36526716929201
66,9.60730291345718,5.41228675275315
67,9.70452660488257,5.46106063795155
68,9.80103276848362,5.5115655302361
69,9.89683705976171,5.56377886898266
70,9.99195457307201,5.61767879319183
71,10.0863998693844,5.67324410918897
72,10.1801870023034,5.70606960571061
73,10.273329542478,5.74068758314219
74,10.3658406005229,5.77707526597318
75,10.457732848559,5.81521054890813
76,10.5490185404743,5.85507196771117
77,10.6397095309978,5.89663867170108
78,10.7298172936677,5.93989039778264
79,10.8193529377744,5.98480744590954
80,10.9083272243467,6.03137065588235
81,10.9967505812468,6.07956138539289
82,11.084633117435,6.12936148923287
83,11.1719846364584,6.18075329959167
84,11.2588146492148,6.21114380405641
85,11.3451323860387,6.24322522957595
86,11.4309468081531,6.27697890227429
87,11.5162666185276,6.3123866235797
88,11.6011002721791,6.34943065234084
